experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s
peak_aoi,poor_links,5,random,5000,136.6324,719.5,6.2782,40.0,1.0,8.0264,53.0,1.5,8.6094,46.0,2.0,10.0896,76.0,3.0,14.1654,136.0,5.0,136.0,2.0,10.9548,0.0013433444,0.026952085900120437
peak_aoi,poor_links,6,whittle,5000,67.1424,256.5,7.0822,25.0,1.0,6.1096,24.0,1.5,5.823,23.0,2.0,5.1856,21.0,3.0,4.7386,22.0,5.0,25.0,2.0,5.249066666666667,0.0029108336,0.036480228998698294
peak_aoi,poor_links,6,round_robin,5000,97.6842,310.5,4.4,25.0,1.0,5.4784,30.0,1.5,6.8422,45.0,2.0,8.1724,50.0,3.0,9.373,45.0,5.0,50.0,2.0,8.129199999999999,0.00012410039999999998,0.02070216299034655
peak_aoi,poor_links,6,periodic,5000,101.2944,308.0,11.1534,65.0,1.0,8.396,52.0,1.5,9.1052,53.0,2.0,9.1312,78.0,3.0,6.3886,38.0,5.0,78.0,2.0,8.208333333333334,0.00012125579999999999,0.02022699499502778
peak_aoi,poor_links,6,greedy,5000,72.7481,257.5,11.644,40.0,1.0,8.5378,28.0,1.5,6.8238,27.0,2.0,5.1536,23.0,3.0,3.8378,18.0,5.0,40.0,2.0,5.271733333333333,0.0007084389999999999,0.023453668924048543
peak_aoi,poor_links,6,random,5000,128.9039,509.0,6.4556,48.0,1.0,7.7182,59.0,1.5,9.2998,99.0,2.0,9.7418,53.0,3.0,12.6092,84.0,5.0,99.0,2.0,10.550266666666666,0.0013469744,0.026915538008324802
peak_aoi,poor_links,7,whittle,5000,67.1469,272.5,7.0786,32.0,1.0,6.1214,23.0,1.5,5.8376,29.0,2.0,5.261,21.0,3.0,4.6856,24.0,5.0,32.0,2.0,5.261400000000001,0.0029136884,0.03594360500574112
peak_aoi,poor_links,7,round_robin,5000,107.6337,373.0,4.601,25.0,1.0,5.7594,35.0,1.5,6.5172,40.0,2.0,8.0264,45.0,3.0,11.456,60.0,5.0,60.0,2.0,8.666533333333334,0.00012148000000000001,0.020629521925002337
peak_aoi,poor_links,7,periodic,5000,100.6582,287.0,11.5694,65.0,1.0,8.018,40.0,1.5,9.3154,52.0,2.0,8.086,39.0,3.0,6.8346,38.0,5.0,65.0,2.0,8.078666666666669,0.0001247974,0.021087911911308765
peak_aoi,poor_links,7,greedy,5000,74.1186,253.0,11.6748,40.0,1.0,8.5096,29.0,1.5,7.0124,26.0,2.0,5.3122,21.0,3.0,3.9436,21.0,5.0,40.0,2.0,5.422733333333333,0.0007416506,0.02485137095209211
