slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
333,1,1,1,32.0,6,1,8
334,2,0,0,38.0,7,2,9
335,0,1,1,37.0,1,3,10
336,2,1,1,13.0,2,4,1
337,2,1,0,19.0,3,5,2
338,2,0,0,25.0,4,6,3
339,1,1,0,31.0,5,7,4
340,1,1,1,23.0,6,1,5
341,1,1,0,29.0,7,2,6
342,2,1,1,17.0,8,3,1
343,1,1,1,17.0,9,1,2
344,0,1,0,23.0,10,2,3
345,1,1,1,25.0,11,1,4
346,2,1,1,19.0,12,2,1
347,0,1,1,13.0,1,3,2
348,2,1,1,13.0,2,4,1
349,2,1,0,19.0,3,5,2
350,1,0,0,25.0,4,6,3
351,2,1,0,31.0,5,7,4
352,2,0,0,37.0,6,8,5
353,0,1,1,37.0,1,9,6
354,0,1,1,42.0,1,10,7
355,0,1,1,47.0,1,11,8
356,0,1,1,52.0,1,12,9
357,1,1,1,34.0,2,1,10
358,2,1,1,10.0,3,2,1
359,2,1,0,16.0,4,3,2
360,2,1,1,16.0,5,4,1
361,2,1,1,19.0,6,5,1
362,0,1,1,19.0,1,6,2
363,2,1,1,19.0,2,7,1
364,1,1,1,11.0,3,1,2
365,2,1,0,17.0,4,2,3
366,0,1,1,19.0,1,3,4
367,1,1,1,19.0,2,1,5
368,2,0,0,25.0,3,2,6
369,1,1,1,27.0,4,1,7
370,1,1,0,33.0,5,2,8
371,0,1,1,34.0,1,3,9
372,2,1,1,13.0,2,4,1
373,0,1,1,17.0,1,5,2
374,0,1,1,22.0,1,6,3
375,2,1,1,19.0,2,7,1
376,0,1,1,23.0,1,8,2
377,1,1,1,13.0,2,1,3
378,1,1,1,17.0,3,1,4
379,1,1,1,21.0,4,1,5
380,2,1,1,12.0,5,2,1
381,2,0,0,18.0,6,3,2
382,2,1,1,18.0,7,4,1
383,0,1,1,17.0,1,5,2
384,1,1,1,13.0,2,1,3
385,0,1,1,17.0,1,2,4
386,1,1,1,19.0,2,1,5
387,2,1,1,10.0,3,2,1
388,2,0,0,16.0,4,3,2
389,0,0,0,22.0,5,4,3
390,1,1,1,20.0,6,1,4
391,0,1,1,20.0,1,2,5
392,0,1,1,25.0,1,3,6
393,1,1,1,25.0,2,1,7
394,2,0,0,31.0,3,2,8
395,1,1,1,33.0,4,1,9
396,1,1,0,39.0,5,2,10
397,1,1,1,41.0,6,1,11
398,1,1,0,47.0,7,2,12
399,2,1,1,17.0,8,3,1
400,2,1,1,20.0,9,4,1
401,2,1,1,23.0,10,5,1
402,1,1,1,19.0,11,1,2
403,2,1,0,25.0,12,2,3
404,2,1,0,31.0,13,3,4
405,1,1,1,31.0,14,1,5
406,1,0,0,37.0,15,2,6
407,0,1,1,28.0,1,3,7
408,2,1,1,13.0,2,4,1
409,2,0,0,19.0,3,5,2
410,0,1,1,22.0,1,6,3
411,1,1,1,16.0,2,1,4
412,0,1,1,20.0,1,2,5
413,1,0,0,26.0,2,3,6
414,2,1,1,14.0,3,4,1
415,0,1,1,17.0,1,5,2
416,2,1,0,23.0,2,6,3
417,1,1,1,17.0,3,1,4
418,2,0,0,23.0,4,2,5
419,1,1,1,25.0,5,1,6
420,1,1,1,29.0,6,1,7
421,0,1,0,35.0,7,2,8
422,1,1,1,37.0,8,1,9
423,0,1,1,35.0,1,2,10
424,1,1,1,37.0,2,1,11
425,0,1,1,41.0,1,2,12
426,0,1,0,47.0,2,3,13
427,0,1,0,53.0,3,4,14
428,1,1,1,51.0,4,1,15
429,2,1,0,57.0,5,2,16
430,0,1,1,58.0,1,3,17
431,1,1,1,58.0,2,1,18
432,1,1,1,62.0,3,1,19
433,1,1,0,68.0,4,2,20
434,2,1,0,74.0,5,3,21
435,1,1,1,74.0,6,1,22
436,0,1,1,74.0,1,2,23
437,0,1,1,79.0,1,3,24
438,1,1,1,79.0,2,1,25
439,2,1,0,85.0,3,2,26
440,2,1,1,13.0,4,3,1
441,1,1,1,13.0,5,1,2
442,0,1,0,19.0,6,2,3
443,2,1,1,16.0,7,3,1
444,2,1,1,19.0,8,4,1
445,2,0,0,25.0,9,5,2
446,2,1,1,25.0,10,6,1
447,1,1,0,31.0,11,7,2
448,1,1,1,23.0,12,1,3
449,2,0,0,29.0,13,2,4
450,2,1,1,23.0,14,3,1
451,2,0,0,29.0,15,4,2
452,0,1,1,20.0,1,5,3
453,2,0,0,26.0,2,6,4
454,1,1,1,20.0,3,1,5
455,1,1,1,24.0,4,1,6
456,1,1,1,28.0,5,1,7
457,2,0,0,34.0,6,2,8
458,2,1,0,40.0,7,3,9
459,0,1,1,39.0,1,4,10
460,2,1,1,15.0,2,5,1
461,1,1,0,21.0,3,6,2
462,1,1,0,27.0,4,7,3
463,2,1,1,24.0,5,8,1
464,1,1,1,14.0,6,1,2
465,0,0,0,20.0,7,2,3
466,0,1,1,19.0,1,3,4
467,0,1,1,24.0,1,4,5
468,0,1,1,29.0,1,5,6
469,1,1,0,35.0,2,6,7
470,0,1,1,39.0,1,7,8
471,0,1,1,44.0,1,8,9
472,0,1,1,49.0,1,9,10
473,2,1,1,25.0,2,10,1
474,2,0,0,31.0,3,11,2
475,0,1,1,34.0,1,12,3
476,1,1,1,16.0,2,1,4
477,0,1,1,20.0,1,2,5
478,0,1,1,25.0,1,3,6
479,2,1,0,31.0,2,4,7
480,1,1,1,29.0,3,1,8
481,2,1,1,11.0,4,2,1
482,1,1,1,13.0,5,1,2
483,2,1,1,13.0,6,2,1
484,2,1,1,16.0,7,3,1
485,1,1,1,16.0,8,1,2
486,2,0,0,22.0,9,2,3
487,0,1,1,19.0,1,3,4
488,2,0,0,25.0,2,4,5
489,1,1,1,23.0,3,1,6
490,0,1,1,26.0,1,2,7
491,1,0,0,32.0,2,3,8
492,0,1,1,36.0,1,4,9
493,2,1,1,15.0,2,5,1
494,2,1,1,18.0,3,6,1
495,1,1,1,12.0,4,1,2
496,2,1,0,18.0,5,2,3
497,2,1,1,15.0,6,3,1
498,2,1,1,18.0,7,4,1
499,1,1,1,16.0,8,1,2
500,1,1,1,20.0,9,1,3
501,1,0,0,26.0,10,2,4
502,0,1,0,32.0,11,3,5
503,1,1,1,32.0,12,1,6
504,0,1,1,26.0,1,2,7
505,2,1,1,11.0,2,3,1
506,1,1,1,11.0,3,1,2
507,2,1,1,11.0,4,2,1
508,0,1,1,13.0,1,3,2
509,0,1,1,18.0,1,4,3
510,1,0,0,24.0,2,5,4
511,1,1,1,20.0,3,1,5
512,2,1,1,11.0,4,2,1
513,2,1,1,14.0,5,3,1
514,2,0,0,20.0,6,4,2
515,2,1,1,20.0,7,5,1
516,1,1,1,16.0,8,1,2
517,0,0,0,22.0,9,2,3
518,1,1,1,24.0,10,1,4
519,0,1,1,20.0,1,2,5
520,2,1,1,11.0,2,3,1
521,2,0,0,17.0,3,4,2
522,2,1,1,17.0,4,5,1
523,0,1,1,19.0,1,6,2
524,0,1,1,24.0,1,7,3
525,1,1,0,30.0,2,8,4
526,0,1,1,34.0,1,9,5
527,0,1,1,39.0,1,10,6
528,1,1,1,25.0,2,1,7
529,2,1,0,31.0,3,2,8
530,0,1,1,34.0,1,3,9
531,1,1,1,34.0,2,1,10
532,1,1,1,38.0,3,1,11
533,0,1,1,41.0,1,2,12
534,1,0,0,47.0,2,3,13
535,0,1,1,51.0,1,4,14
536,1,1,1,49.0,2,1,15
537,0,1,1,53.0,1,2,16
538,1,1,0,59.0,2,3,17
539,1,1,0,65.0,3,4,18
540,1,1,1,63.0,4,1,19
541,2,1,0,69.0,5,2,20
542,1,1,1,71.0,6,1,21
543,0,1,1,71.0,1,2,22
544,1,1,1,73.0,2,1,23
545,0,1,1,77.0,1,2,24
546,2,1,1,11.0,2,3,1
547,1,0,0,17.0,3,4,2
548,1,1,1,15.0,4,1,3
549,0,1,1,17.0,1,2,4
550,0,1,1,22.0,1,3,5
551,1,1,1,22.0,2,1,6
552,2,1,0,28.0,3,2,7
553,2,1,1,13.0,4,3,1
554,0,1,1,15.0,1,4,2
555,2,1,1,15.0,2,5,1
556,1,1,1,11.0,3,1,2
557,2,1,0,17.0,4,2,3
558,2,0,0,23.0,5,3,4
559,1,0,0,29.0,6,4,5
560,2,0,0,35.0,7,5,6
561,2,0,0,41.0,8,6,7
562,2,1,1,26.0,9,7,1
563,2,1,0,32.0,10,8,2
564,2,0,0,38.0,11,9,3
565,0,1,1,33.0,1,10,4
566,1,1,1,19.0,2,1,5
567,0,1,0,25.0,3,2,6
568,2,1,0,31.0,4,3,7
569,2,1,0,37.0,5,4,8
570,0,1,1,38.0,1,5,9
571,0,1,1,43.0,1,6,10
572,2,0,0,49.0,2,7,11
573,1,0,0,55.0,3,8,12
574,2,1,1,25.0,4,9,1
575,1,1,1,13.0,5,1,2
576,1,1,1,17.0,6,1,3
577,1,1,1,21.0,7,1,4
578,0,1,1,20.0,1,2,5
579,2,1,1,11.0,2,3,1
580,1,1,1,11.0,3,1,2
581,0,1,1,14.0,1,2,3
582,0,1,1,19.0,1,3,4
583,2,1,1,13.0,2,4,1
584,2,0,0,19.0,3,5,2
585,1,1,1,15.0,4,1,3
586,2,1,0,21.0,5,2,4
587,0,1,1,22.0,1,3,5
588,1,1,0,28.0,2,4,6
589,0,0,0,34.0,3,5,7
590,0,1,1,37.0,1,6,8
591,1,1,0,43.0,2,7,9
592,1,1,1,35.0,3,1,10
593,2,1,1,11.0,4,2,1
594,0,1,0,17.0,5,3,2
595,1,1,0,23.0,6,4,3
596,0,1,1,23.0,1,5,4
597,1,1,1,19.0,2,1,5
598,2,1,1,10.0,3,2,1
599,0,1,1,13.0,1,3,2
600,0,1,1,18.0,1,4,3
601,2,0,0,24.0,2,5,4
602,1,1,0,30.0,3,6,5
603,1,1,1,24.0,4,1,6
604,2,1,1,12.0,5,2,1
605,0,1,1,13.0,1,3,2
606,0,1,1,18.0,1,4,3
607,1,1,1,16.0,2,1,4
608,0,1,1,20.0,1,2,5
609,0,1,1,25.0,1,3,6
610,1,1,1,25.0,2,1,7
611,0,1,1,29.0,1,2,8
612,2,0,0,35.0,2,3,9
613,0,0,0,41.0,3,4,10
614,2,0,0,47.0,4,5,11
615,0,1,1,49.0,1,6,12
616,2,1,1,19.0,2,7,1
617,2,1,1,22.0,3,8,1
618,0,1,1,25.0,1,9,2
619,2,1,1,25.0,2,10,1
620,0,1,0,31.0,3,11,2
621,0,1,0,37.0,4,12,3
