slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
514,0,1,1,13.0,1,3,2
515,2,1,0,19.0,2,4,3
516,2,1,1,16.0,3,5,1
517,1,0,0,22.0,4,6,2
518,1,0,0,28.0,5,7,3
519,1,1,1,20.0,6,1,4
520,2,1,1,14.0,7,2,1
521,0,1,1,13.0,1,3,2
522,2,1,0,19.0,2,4,3
523,2,1,0,25.0,3,5,4
524,2,1,0,31.0,4,6,5
525,2,1,0,37.0,5,7,6
526,2,1,1,25.0,6,8,1
527,1,1,0,31.0,7,9,2
528,1,1,1,19.0,8,1,3
529,2,1,1,16.0,9,2,1
530,0,1,1,13.0,1,3,2
531,2,0,0,19.0,2,4,3
532,2,1,1,16.0,3,5,1
533,1,1,1,12.0,4,1,2
534,2,1,1,12.0,5,2,1
535,0,1,1,13.0,1,3,2
536,2,0,0,19.0,2,4,3
537,2,1,1,16.0,3,5,1
538,1,1,1,12.0,4,1,2
539,2,1,1,12.0,5,2,1
540,0,0,0,18.0,6,3,2
541,2,1,1,18.0,7,4,1
542,1,1,0,24.0,8,5,2
543,1,1,1,20.0,9,1,3
544,2,0,0,26.0,10,2,4
545,2,0,0,32.0,11,3,5
546,2,1,1,23.0,12,4,1
547,0,1,0,29.0,13,5,2
548,0,1,1,22.0,1,6,3
549,1,1,0,28.0,2,7,4
550,1,1,1,20.0,3,1,5
551,2,1,1,11.0,4,2,1
552,1,1,1,13.0,5,1,2
553,2,0,0,19.0,6,2,3
554,2,0,0,25.0,7,3,4
555,2,1,1,19.0,8,4,1
556,1,0,0,25.0,9,5,2
557,1,1,1,21.0,10,1,3
558,0,1,1,17.0,1,2,4
559,2,0,0,23.0,2,3,5
560,2,1,1,14.0,3,4,1
561,1,1,0,20.0,4,5,2
562,1,1,1,16.0,5,1,3
563,2,1,0,22.0,6,2,4
564,2,1,0,28.0,7,3,5
565,2,1,0,34.0,8,4,6
566,2,1,0,40.0,9,5,7
567,2,1,1,25.0,10,6,1
568,1,0,0,31.0,11,7,2
569,1,1,1,23.0,12,1,3
570,0,1,1,17.0,1,2,4
571,2,1,0,23.0,2,3,5
572,2,1,0,29.0,3,4,6
573,2,1,1,17.0,4,5,1
574,1,1,1,13.0,5,1,2
575,2,1,1,13.0,6,2,1
576,0,0,0,19.0,7,3,2
577,0,1,1,18.0,1,4,3
578,2,1,1,15.0,2,5,1
579,1,1,0,21.0,3,6,2
580,1,1,1,15.0,4,1,3
581,2,1,1,12.0,5,2,1
582,0,1,0,18.0,6,3,2
583,2,1,1,18.0,7,4,1
584,1,1,0,24.0,8,5,2
585,1,1,1,20.0,9,1,3
586,2,1,0,26.0,10,2,4
587,2,0,0,32.0,11,3,5
588,2,1,1,23.0,12,4,1
589,0,1,1,17.0,1,5,2
590,1,1,1,13.0,2,1,3
591,2,1,1,10.0,3,2,1
592,1,1,1,12.0,4,1,2
593,2,0,0,18.0,5,2,3
594,2,0,0,24.0,6,3,4
595,2,1,0,30.0,7,4,5
596,2,1,0,36.0,8,5,6
597,2,1,1,24.0,9,6,1
598,1,1,1,18.0,10,1,2
599,0,1,1,14.0,1,2,3
600,2,1,0,20.0,2,3,4
601,2,1,1,14.0,3,4,1
602,1,1,1,12.0,4,1,2
603,2,1,1,12.0,5,2,1
604,0,0,0,18.0,6,3,2
605,2,1,1,18.0,7,4,1
606,1,1,1,16.0,8,1,2
607,0,1,1,14.0,1,2,3
608,2,1,1,11.0,2,3,1
609,1,1,0,17.0,3,4,2
610,1,1,1,15.0,4,1,3
611,2,1,1,12.0,5,2,1
612,0,1,1,13.0,1,3,2
613,2,1,0,19.0,2,4,3
614,2,1,1,16.0,3,5,1
615,1,1,1,12.0,4,1,2
616,2,0,0,18.0,5,2,3
617,2,0,0,24.0,6,3,4
618,2,1,1,18.0,7,4,1
619,1,1,1,16.0,8,1,2
620,0,1,1,14.0,1,2,3
621,2,0,0,20.0,2,3,4
622,2,1,1,14.0,3,4,1
623,1,1,1,12.0,4,1,2
624,2,1,1,12.0,5,2,1
625,0,1,1,13.0,1,3,2
626,2,1,1,13.0,2,4,1
627,1,0,0,19.0,3,5,2
628,1,1,1,15.0,4,1,3
629,2,1,1,12.0,5,2,1
630,0,1,1,13.0,1,3,2
631,2,1,0,19.0,2,4,3
632,2,0,0,25.0,3,5,4
633,2,1,0,31.0,4,6,5
634,2,0,0,37.0,5,7,6
635,2,1,1,25.0,6,8,1
636,1,1,1,15.0,7,1,2
637,0,1,1,14.0,1,2,3
638,2,0,0,20.0,2,3,4
639,2,0,0,26.0,3,4,5
640,2,1,0,32.0,4,5,6
641,2,1,1,20.0,5,6,1
642,1,1,1,14.0,6,1,2
643,2,1,1,14.0,7,2,1
644,0,1,1,13.0,1,3,2
645,2,0,0,19.0,2,4,3
646,2,1,1,16.0,3,5,1
647,1,1,1,12.0,4,1,2
648,2,1,1,12.0,5,2,1
649,0,1,1,13.0,1,3,2
650,2,1,1,13.0,2,4,1
651,1,1,0,19.0,3,5,2
