slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
664,1,1,1,24.0,4,1,6
665,0,1,1,26.0,1,2,7
666,1,1,1,28.0,2,1,8
667,2,1,1,10.0,3,2,1
668,1,0,0,16.0,4,3,2
669,0,1,1,18.0,1,4,3
670,1,1,1,16.0,2,1,4
671,2,1,1,10.0,3,2,1
672,1,1,1,12.0,4,1,2
673,0,1,1,14.0,1,2,3
674,1,0,0,20.0,2,3,4
675,2,1,0,26.0,3,4,5
676,1,0,0,32.0,4,5,6
677,0,1,1,34.0,1,6,7
678,1,1,1,28.0,2,1,8
679,2,1,1,10.0,3,2,1
680,1,0,0,16.0,4,3,2
681,0,1,1,18.0,1,4,3
682,1,1,1,16.0,2,1,4
683,2,1,1,10.0,3,2,1
684,1,1,0,16.0,4,3,2
685,0,1,1,18.0,1,4,3
686,1,1,1,16.0,2,1,4
687,2,1,0,22.0,3,2,5
688,1,1,0,28.0,4,3,6
689,0,1,1,30.0,1,4,7
690,1,1,1,28.0,2,1,8
691,2,1,0,34.0,3,2,9
692,1,1,1,36.0,4,1,10
693,0,1,1,38.0,1,2,11
694,1,1,0,44.0,2,3,12
695,2,1,0,50.0,3,4,13
696,1,1,1,48.0,4,1,14
697,0,1,1,50.0,1,2,15
698,1,1,1,52.0,2,1,16
699,2,1,1,10.0,3,2,1
700,1,1,1,12.0,4,1,2
701,0,1,1,14.0,1,2,3
702,1,1,1,16.0,2,1,4
703,2,0,0,22.0,3,2,5
704,1,1,0,28.0,4,3,6
705,0,1,0,34.0,5,4,7
706,1,0,0,40.0,6,5,8
707,2,0,0,46.0,7,6,9
708,1,0,0,52.0,8,7,10
709,0,0,0,58.0,9,8,11
710,1,1,1,48.0,10,1,12
711,2,0,0,54.0,11,2,13
712,1,1,0,60.0,12,3,14
713,0,0,0,66.0,13,4,15
714,1,1,1,64.0,14,1,16
715,2,1,0,70.0,15,2,17
716,1,1,0,76.0,16,3,18
717,0,1,0,82.0,17,4,19
718,1,1,0,88.0,18,5,20
719,2,1,0,94.0,19,6,21
720,1,0,0,100.0,20,7,22
721,0,1,1,86.0,1,8,23
722,1,0,0,92.0,2,9,24
723,2,1,1,26.0,3,10,1
724,1,0,0,32.0,4,11,2
725,0,1,0,38.0,5,12,3
726,1,1,1,20.0,6,1,4
727,2,1,1,14.0,7,2,1
728,1,1,1,16.0,8,1,2
729,0,1,1,14.0,1,2,3
730,1,1,1,16.0,2,1,4
731,2,1,1,10.0,3,2,1
732,1,1,1,12.0,4,1,2
733,0,1,1,14.0,1,2,3
734,1,1,1,16.0,2,1,4
735,2,1,1,10.0,3,2,1
736,1,1,1,12.0,4,1,2
737,0,1,1,14.0,1,2,3
738,1,1,1,16.0,2,1,4
739,2,0,0,22.0,3,2,5
740,1,1,1,24.0,4,1,6
741,0,1,1,26.0,1,2,7
742,1,1,0,32.0,2,3,8
743,2,1,1,14.0,3,4,1
744,1,0,0,20.0,4,5,2
745,0,1,0,26.0,5,6,3
746,1,1,1,20.0,6,1,4
747,2,1,1,14.0,7,2,1
748,1,1,1,16.0,8,1,2
749,0,1,1,14.0,1,2,3
750,1,1,1,16.0,2,1,4
751,2,1,0,22.0,3,2,5
752,1,1,1,24.0,4,1,6
753,0,1,1,26.0,1,2,7
754,1,1,0,32.0,2,3,8
755,2,1,1,14.0,3,4,1
756,1,1,1,12.0,4,1,2
